Id,Sex,AvgRank,AvgTime,YearsSinceLast,YearsOfParticipation,LatestAge,Interaction1
27543,0,973.0,15045.0,2,1,43,1946.0
17509,1,555.0,13185.0,5,1,25,2775.0
10565,1,1390.0,16982.0,9,1,23,12510.0
12152,1,460.0,13311.0,6,2,43,2760.0
7922,1,532.75,13697.75,5,4,42,2663.75
6090,1,576.0,14302.0,11,1,41,6336.0
10936,1,1921.0,19140.0,9,1,35,17289.0
22057,0,1943.0,16246.0,4,1,26,7772.0
9761,0,425.0,13567.0,8,2,33,3400.0
13202,0,1785.0,17329.0,8,1,49,14280.0
27298,1,2441.0,18473.0,2,1,45,4882.0
7185,0,1565.0,19743.0,11,1,30,17215.0
21008,0,1256.0,15012.0,4,1,35,5024.0
12147,1,2355.0,19834.0,8,1,23,18840.0
8156,1,671.0,14294.0,10,1,55,6710.0
10526,1,3.0,8584.0,9,1,24,27.0
11028,1,2457.0,23882.0,9,1,71,22113.0
6714,0,1337.0,17699.0,11,1,33,14707.0
8778,1,1817.5,18342.5,1,2,40,1817.5
12966,1,2597.0,22809.0,8,1,64,20776.0
7463,1,2429.0,24635.0,10,1,33,24290.0
20927,1,169.333333333,12145.3333333,1,3,56,169.333333333
12413,1,746.0,14206.0,8,1,26,5968.0
19923,1,3014.0,19099.0,5,1,17,15070.0
14148,1,212.0,12393.0,7,1,38,1484.0
12973,0,1333.0,15946.0,8,1,30,10664.0
16452,1,68.0,11415.0,6,1,31,408.0
5009,1,1462.0,18792.0,12,1,32,17544.0
22563,1,2354.0,17130.0,4,1,50,9416.0
29827,1,420.0,13235.0,1,1,35,420.0
11594,1,730.0,14172.0,8,1,35,5840.0
26198,0,1231.0,15653.0,2,1,24,2462.0
26698,1,24.0,10703.0,2,1,49,48.0
17515,1,1637.0,15537.0,5,1,24,8185.0
15982,0,718.0,14380.0,6,1,41,4308.0
12571,1,2520.0,21455.0,8,1,44,20160.0
5298,1,311.0,13542.0,12,1,34,3732.0
17427,1,3255.0,21687.6666667,4,3,41,13020.0
20236,1,1540.0,15922.5,2,2,43,3080.0
13349,0,1705.0,16773.0,7,1,51,11935.0
28411,0,1955.0,17229.0,2,1,36,3910.0
11326,1,108.0,11586.0,8,1,24,864.0
12858,1,1867.0,17570.0,8,1,22,14936.0
20668,0,2989.0,18634.0,4,1,31,11956.0
28198,1,3427.0,22679.0,2,1,44,6854.0
5656,0,831.0,15577.0,12,1,24,9972.0
16065,1,2092.0,18144.0,6,1,33,12552.0
29675,1,3.0,8631.0,1,1,20,3.0
25285,0,800.0,14624.0,2,1,25,1600.0
10246,1,23.0,10616.0,9,1,34,207.0
15403,0,939.0,15117.0,6,1,33,5634.0
4441,1,1256.0,17457.0,12,1,36,15072.0
8732,1,63.0,11082.0,10,1,36,630.0
15842,1,1447.0,15667.5,5,2,35,7235.0
16269,0,2569.0,20372.0,6,1,35,15414.0
21495,1,340.0,12745.0,4,1,38,1360.0
20277,0,2222.0,16838.0,4,1,45,8888.0
29270,0,2712.0,23856.0,1,1,30,2712.0
26560,1,1296.0,15851.0,2,1,41,2592.0
17607,1,14.0,9671.0,5,1,27,70.0
28731,1,257.0,12759.0,1,1,45,257.0
29403,1,2168.0,18629.0,1,1,25,2168.0
14662,0,1105.0,15147.0,7,1,26,7735.0
12825,1,1082.0,15229.0,8,1,61,8656.0
17854,0,3312.0,20853.0,5,1,32,16560.0
19793,0,2909.0,18656.0,5,1,23,14545.0
20512,1,58.0,11034.0,4,1,31,232.0
10344,0,1480.0,17231.0,9,1,44,13320.0
5886,1,225.75,12629.0,7,4,40,1580.25
22911,0,706.0,13823.0,4,1,32,2824.0
26104,0,3192.0,21205.0,2,1,43,6384.0
14652,1,324.0,12811.0,7,1,37,2268.0
19532,1,1087.0,14295.0,5,1,30,5435.0
27862,1,2415.0,18390.0,2,1,64,4830.0
28389,1,1147.5,15334.0,1,2,30,1147.5
21717,0,1939.0,16241.0,4,1,28,7756.0
27118,1,1734.0,16736.0,2,1,52,3468.0
13843,0,2052.0,17848.0,7,1,28,14364.0
19190,0,516.0,13068.0,5,1,28,2580.0
29151,0,2688.0,23228.0,1,1,35,2688.0
12930,0,1549.0,16527.0,8,1,36,12392.0
28710,1,700.0,14048.0,1,1,45,700.0
12968,1,1034.0,15094.0,8,1,50,8272.0
27864,1,478.0,13736.0,2,1,22,956.0
6247,1,968.0,15959.0,11,1,37,10648.0
4443,0,1547.0,19606.0,12,1,32,18564.0
6961,1,943.0,15858.0,11,1,25,10373.0
8460,0,2032.0,19854.0,10,1,47,20320.0
4862,1,1698.0,21370.0,12,1,30,20376.0
7124,0,385.0,13590.0,11,1,22,4235.0
27898,1,721.0,14409.0,2,1,36,1442.0
19729,1,745.0,13673.0,5,1,25,3725.0
29842,0,683.0,14004.0,1,1,40,683.0
6127,1,1506.5,18146.0,10,2,49,15065.0
26964,0,802.0,14633.0,2,1,20,1604.0
17193,0,2763.0,22171.0,6,1,23,16578.0
21832,0,1975.0,16318.0,4,1,26,7900.0
6660,1,611.0,14421.0,11,1,43,6721.0
9826,1,1731.0,18132.0,9,1,61,15579.0
20988,0,3471.0,20377.0,4,1,33,13884.0
20065,0,2356.0,17082.0,5,1,50,11780.0
29234,0,1168.0,15291.0,1,1,25,1168.0
4483,1,1605.0,20269.0,12,1,37,19260.0
10002,1,2155.0,20474.0,9,1,25,19395.0
9001,0,2221.0,21240.0,10,1,38,22210.0
8309,1,1514.0,17208.0,10,1,34,15140.0
18111,0,2206.0,16750.0,5,1,29,11030.0
18275,1,487.0,12983.0,5,1,64,2435.0
9327,1,2091.5,19251.0,8,2,34,16732.0
27333,1,1752.0,16781.0,2,1,51,3504.0
22512,1,3052.0,18860.0,4,1,47,12208.0
17300,0,1543.0,16634.0,6,1,36,9258.0
22097,1,3467.0,20368.0,4,1,52,13868.0
5127,0,1701.0,21498.0,12,1,47,20412.0
9813,0,1197.0,16386.0,9,1,35,10773.0
8203,1,517.0,13761.0,10,1,47,5170.0
7570,0,1216.0,16078.3333333,8,3,29,9728.0
4898,1,1500.0,19053.0,12,1,44,18000.0
17007,0,2182.0,18466.0,6,1,42,13092.0
14583,1,1316.0,15891.0,2,2,42,2632.0
3646,0,1342.0,19921.0,13,1,26,17446.0
3161,1,833.0,15674.0,13,1,63,10829.0
18659,1,2090.0,16502.0,5,1,44,10450.0
14511,1,3134.66666667,20745.0,4,3,40,12538.6666667
21764,0,2525.0,17499.0,4,1,40,10100.0
21297,1,2033.0,16435.0,4,1,45,8132.0
10772,1,1540.0,17460.0,9,1,28,13860.0
18565,0,2209.0,16759.0,5,1,40,11045.0
7407,1,156.0,12114.0,10,1,29,1560.0
9642,0,2018.0,19650.0,9,1,23,18162.0
11078,1,1173.0,16297.0,9,1,38,10557.0
10076,0,1604.0,17697.0,9,1,24,14436.0
13968,1,1279.0,15589.0,7,1,37,8953.0
14879,0,790.0,14194.0,7,1,33,5530.0
19302,0,2490.0,17448.0,5,1,40,12450.0
19091,0,1232.0,14760.0,4,2,44,4928.0
20955,0,2879.0,18329.0,4,1,25,11516.0
18031,1,1048.0,14210.0,5,1,41,5240.0
12552,0,1162.0,15440.0,8,1,41,9296.0
26739,0,3309.0,21865.0,2,1,45,6618.0
18304,1,846.0,13871.0,5,1,27,4230.0
26120,0,3405.0,22469.0,2,1,30,6810.0
3784,1,54.0,11206.0,13,1,38,702.0
3587,1,1361.0,20350.0,13,1,47,17693.0
8764,0,532.0,13817.0,10,1,25,5320.0
26251,1,689.5,14168.5,1,2,47,689.5
