Id,Rank,Year,0,Age Category,AttendanceIn2015
6201,292.0,11,1,43,0
11682,1179.0,8,1,32,0
26102,2544.0,2,1,25,0
4504,1661.0,12,1,38,0
13609,1123.0,7,1,33,0
26274,532.0,2,1,29,0
6236,1619.75,7,4,31,0
18863,3278.0,5,1,20,0
19452,2222.5,4,2,38,0
4138,1423.0,13,1,33,0
29045,1002.0,1,1,40,1
18600,1689.0,5,1,31,0
7039,506.0,11,1,37,0
6153,1826.6,7,5,47,0
9630,19.0,9,1,35,0
10289,1121.5,4,4,50,0
4539,962.0,12,1,30,0
26196,2630.0,2,1,50,0
30123,705.0,1,1,45,1
13003,1981.0,8,1,38,0
6097,602.0,11,1,61,0
26436,2801.0,2,1,60,0
29982,49.0,1,1,30,1
21772,1794.0,4,1,41,0
9146,944.0,10,1,51,0
4600,1441.0,12,1,57,0
15718,2295.0,6,1,29,0
5961,1678.0,11,1,36,0
18851,187.0,5,1,29,0
24961,1935.0,2,1,45,0
11671,2604.0,8,1,53,0
15572,1540.0,6,1,35,0
26678,305.0,2,1,34,0
27488,3414.0,2,1,70,0
94,1330.16666667,1,6,45,1
22587,3041.0,4,1,40,0
21738,2486.0,4,1,35,0
6915,1435.0,11,1,49,0
5846,1172.0,12,1,31,0
29833,364.0,1,1,40,1
5828,1341.66666667,10,3,68,0
12381,1160.0,5,2,30,0
9683,664.0,9,1,37,0
28990,2398.0,1,1,55,1
11922,131.0,8,1,39,0
28203,1867.0,2,1,26,0
30275,1976.0,1,1,40,1
14736,2379.0,2,5,53,0
10965,156.0,9,1,39,0
4763,525.0,12,1,44,0
27167,783.0,1,2,43,1
21575,1065.0,4,1,38,0
14435,2290.0,7,1,47,0
29140,203.0,1,1,35,1
7783,706.0,4,2,42,0
20091,3420.0,5,1,24,0
20046,3328.0,5,1,39,0
10473,1932.0,4,3,38,0
17191,44.0,6,1,40,0
16360,3073.25,2,4,35,0
27476,210.0,2,1,32,0
6858,418.0,11,1,29,0
21642,1904.0,4,1,21,0
18983,2380.0,5,1,54,0
9403,289.0,9,1,28,0
9057,1215.0,9,2,30,0
24821,351.0,2,1,40,0
21467,2744.0,4,1,35,0
3372,81.0,13,1,27,0
12437,1443.0,8,1,34,0
3785,288.0,13,1,29,0
14104,2899.75,4,4,29,0
27459,2231.0,2,1,33,0
21670,3710.0,4,1,36,0
3637,586.0,1,3,36,1
28789,2438.0,1,1,50,1
8492,1922.0,10,1,40,0
8724,478.0,10,1,42,0
8321,554.0,10,1,35,0
12018,538.0,8,1,37,0
16275,2346.0,6,1,26,0
4194,994.0,13,1,31,0
8316,503.0,10,1,51,0
3394,1979.33333333,6,3,48,0
19974,2364.0,5,1,75,0
19650,3270.0,5,1,38,0
12692,1104.0,8,1,24,0
1287,1912.0,1,1,55,1
19637,2412.0,5,1,34,0
27271,853.0,2,1,39,0
29680,353.0,1,1,40,1
14398,293.5,6,2,45,0
5167,722.0,12,1,24,0
26800,2802.0,2,1,47,0
6731,534.0,8,2,38,0
13001,1244.0,8,1,47,0
15150,1160.0,7,1,37,0
27181,2565.0,2,1,40,0
28756,1167.0,1,1,50,1
11555,1636.0,8,1,27,0
1190,1012.0,1,3,45,1
12349,1558.0,8,1,29,0
14247,792.0,7,1,39,0
12828,203.0,8,1,21,0
20225,193.0,4,1,39,0
10946,740.0,8,2,42,0
4123,590.5,12,2,30,0
11692,1896.0,8,1,22,0
21746,3014.0,4,1,25,0
20592,2543.0,4,1,27,0
9372,169.0,9,1,33,0
14681,680.0,7,1,45,0
5570,1407.0,12,1,28,0
29939,1905.0,1,1,40,1
19130,1591.0,5,1,24,0
18290,2729.0,5,1,49,0
13547,788.0,7,1,24,0
9562,2314.0,9,1,29,0
10340,1958.0,9,1,59,0
8861,1313.0,10,1,44,0
9703,685.0,7,2,37,0
8737,1342.0,10,1,40,0
28512,2716.0,2,1,35,0
11157,56.0,8,1,22,0
20109,3048.0,5,1,28,0
7201,1503.0,11,1,57,0
7337,887.0,10,1,35,0
3321,875.0,13,1,29,0
8135,423.0,10,1,27,0
24936,1093.0,2,1,45,0
26328,2398.0,2,1,28,0
9852,86.0,9,1,39,0
21416,2699.0,4,1,36,0
15999,619.0,6,1,44,0
21734,2012.0,4,1,36,0
13182,2066.2,4,5,36,0
10263,2082.0,9,1,32,0
18839,319.0,5,1,54,0
6405,1010.0,11,1,24,0
29129,2174.0,1,1,45,1
17020,786.0,6,1,56,0
29913,2580.0,1,1,35,1
21395,23.0,4,1,33,0
20502,3576.0,4,1,43,0
20576,1772.0,4,1,55,0
28901,123.0,1,1,35,1
15097,1027.0,7,1,37,0
12409,7.0,8,1,30,0
19920,296.0,5,1,44,0
7461,2441.0,10,1,18,0
9304,476.0,9,1,43,0
14579,2755.0,7,1,59,0
20495,1214.0,4,1,47,0
6788,50.0,11,1,44,0
18247,528.0,5,1,47,0
29108,2456.0,1,1,50,1
11298,2175.0,8,1,57,0
18183,3304.0,4,2,46,0
12596,59.0,8,1,26,0
27052,2805.0,2,1,31,0
6053,446.0,11,1,36,0
29110,1534.0,1,1,45,1
7154,1609.0,11,1,32,0
6388,244.0,11,1,45,0
11660,944.0,8,1,47,0
6340,751.0,11,1,51,0
10319,1557.0,9,1,36,0
13301,2107.0,7,1,39,0
7724,2040.0,10,1,34,0
3439,3.0,12,2,36,0
18082,2168.0,5,1,37,0
29235,2543.0,1,1,30,1
19160,916.0,5,1,30,0
30049,2550.0,1,1,25,1
30130,2644.0,1,1,30,1
14288,67.0,7,1,33,0
30001,1980.0,1,1,40,1
8602,222.0,10,1,64,0
8756,874.0,10,1,49,0
221,2755.0,7,1,53,0
26136,2786.0,2,1,52,0
25233,634.0,2,1,48,0
17040,2737.5,4,2,61,0
11776,1449.0,8,1,48,0
30066,2017.0,1,1,20,1
8995,276.0,10,1,51,0
21917,580.0,4,1,44,0
26735,3411.0,2,1,37,0
9430,591.0,9,1,39,0
28430,1133.0,2,1,39,0
29876,2530.0,1,1,40,1
15986,2462.0,6,1,20,0
11126,379.0,9,1,44,0
29444,1220.0,1,1,30,1
5904,1238.0,11,1,47,0
7116,1150.0,11,1,44,0
9977,1413.0,9,1,25,0
1918,2193.0,1,1,40,1
17532,1016.0,5,1,29,0
7488,2412.0,10,1,31,0
16681,315.0,6,1,35,0
7532,1110.0,2,4,40,0
15574,1443.0,6,1,41,0
10244,550.0,9,1,28,0
5383,60.0,12,1,26,0
6753,1221.0,8,3,42,0
26585,2445.0,2,1,54,0
29844,1940.0,1,1,45,1
3539,1756.66666667,7,3,41,0
13038,2139.0,8,1,37,0
29462,1567.0,1,1,45,1
15029,2298.0,6,2,40,0
17238,851.0,6,1,32,0
26516,1403.0,2,1,36,0
8360,1079.0,10,1,37,0
8980,1188.0,10,1,37,0
7316,2212.0,10,1,35,0
22089,706.0,4,1,61,0
7684,1973.0,7,3,34,0
16206,1670.0,6,1,27,0
14543,1616.0,7,1,28,0
10840,2320.0,9,1,36,0
18550,1775.0,5,1,38,0
16,1239.6,1,5,45,1
30410,1640.0,1,1,25,1
13222,1204.0,8,1,39,0
16020,2730.0,6,1,59,0
17475,2331.0,5,1,44,0
18648,607.0,5,1,37,0
6108,1638.0,11,1,53,0
14238,1189.0,7,1,28,0
11051,1763.0,9,1,37,0
15829,137.0,6,1,47,0
12821,2223.0,8,1,26,0
1725,1996.0,1,2,40,1
9052,2152.5,2,2,42,0
26081,2076.0,2,1,35,0
10475,1205.33333333,6,3,54,0
483,1565.0,1,2,45,1
264,1292.0,1,1,45,1
18734,2720.0,5,1,35,0
9085,903.0,10,1,39,0
16505,217.0,6,1,25,0
30144,422.0,1,1,25,1
6603,509.5,10,2,37,0
12811,95.6,1,5,35,1
7173,356.5,6,2,36,0
27809,2275.0,2,1,31,0
14514,1625.0,7,1,50,0
11602,2097.0,8,1,41,0
14618,1547.0,7,1,26,0
22482,1947.0,4,1,35,0
11014,2474.0,9,1,25,0
17912,2157.0,5,1,51,0
14780,1534.0,7,1,35,0
13143,2045.0,8,1,60,0
20925,2067.0,4,1,53,0
7351,1248.83333333,4,6,41,0
9517,2466.0,9,1,46,0
10598,1493.0,9,1,31,0
4832,1055.0,5,2,43,0
20709,2707.0,4,1,39,0
28235,2772.0,2,1,40,0
16719,969.0,6,1,27,0
4413,476.0,13,1,26,0
15197,1737.0,7,1,45,0
14002,1676.0,7,1,49,0
19550,193.0,5,1,56,0
16803,2222.25,1,4,45,1
7929,1506.0,10,1,34,0
16956,62.0,6,1,54,0
21043,3369.0,4,1,44,0
17860,221.0,5,1,50,0
28796,459.0,1,1,35,1
16426,2802.0,6,1,29,0
13057,1859.0,8,1,33,0
22050,691.0,4,1,38,0
11523,207.0,8,1,25,0
5633,1832.8,5,5,42,0
4321,508.5,10,2,54,0
28258,1723.0,2,1,28,0
28760,247.0,1,1,35,1
26554,1066.0,2,1,27,0
4122,959.0,12,2,54,0
18752,2005.0,2,2,35,0
12171,1177.0,8,1,24,0
11372,2459.0,8,1,25,0
20426,1087.0,4,1,61,0
21843,3699.0,4,1,31,0
8607,2249.0,10,1,18,0
19566,830.0,5,1,50,0
1243,2111.5,1,2,58,1
19514,1199.33333333,1,3,30,1
12996,354.0,8,1,26,0
4088,1939.5,7,2,59,0
8359,1837.0,10,1,39,0
22485,424.0,4,1,40,0
4094,468.5,12,2,34,0
8907,2286.0,10,1,47,0
26029,185.0,2,1,42,0
16968,2684.0,6,1,21,0
5837,315.0,12,1,28,0
19908,1467.0,5,1,30,0
3697,1362.0,13,1,33,0
3534,457.0,13,1,25,0
10899,1456.0,9,1,26,0
6357,1357.0,11,1,28,0
3412,66.0,13,1,31,0
18958,1950.0,5,1,52,0
27707,2568.0,2,1,32,0
8983,1407.0,10,1,28,0
22035,3593.0,4,1,35,0
9832,1566.0,9,1,25,0
9432,1125.0,9,1,41,0
26684,2673.0,2,1,50,0
7241,870.0,10,1,56,0
27451,1465.0,2,1,46,0
2550,1368.75,1,4,35,1
29646,1184.0,1,1,55,1
7560,738.0,10,1,51,0
15399,1585.0,6,1,53,0
10152,348.5,8,2,49,0
29893,1674.0,1,1,40,1
18900,2914.0,5,1,59,0
7818,551.0,10,1,30,0
13993,2625.0,7,1,49,0
21410,1757.0,4,1,40,0
29896,1424.0,1,1,35,1
6739,451.0,11,1,24,0
30089,2617.0,1,1,40,1
22405,3203.0,4,1,59,0
28691,453.0,1,1,35,1
17178,2396.0,6,1,33,0
21223,2141.0,4,1,35,0
11109,536.0,9,1,36,0
28805,1629.0,1,1,15,1
8753,606.0,10,1,50,0
21133,2163.0,4,1,38,0
7779,2227.0,10,1,22,0
29184,2154.0,1,1,30,1
22198,2286.0,4,1,32,0
1385,939.0,1,5,50,1
27486,1427.0,1,2,40,1
29217,1586.0,1,1,50,1
27226,3227.0,2,1,25,0
7099,1403.0,11,1,41,0
9323,1489.0,6,2,36,0
11378,1027.0,8,1,29,0
26870,3050.0,2,1,34,0
28580,229.0,1,1,20,1
28561,1536.0,2,1,31,0
12715,589.0,8,1,51,0
19611,2735.0,5,1,47,0
11201,156.666666667,6,3,24,0
5089,839.0,12,1,25,0
26406,1912.0,2,1,22,0
16239,872.0,6,1,36,0
28519,2079.0,2,1,33,0
21618,2492.0,4,1,44,0
5255,58.0,12,1,32,0
30134,1925.0,1,1,35,1
12010,693.0,8,1,42,0
29512,1077.0,1,1,35,1
10517,1705.0,9,1,51,0
27879,707.0,2,1,47,0
4707,591.0,12,1,40,0
27401,2128.0,2,1,32,0
20513,637.0,4,1,36,0
20980,697.0,4,1,35,0
29508,2661.0,1,1,35,1
22559,1876.0,4,1,42,0
29421,1386.0,1,1,55,1
6285,202.0,11,1,48,0
28586,1880.0,1,1,35,1
9119,122.666666667,5,3,44,0
5920,1562.0,11,1,43,0
19286,949.0,5,1,29,0
30385,2436.0,1,1,12,1
16217,388.0,6,1,28,0
11851,366.0,8,1,40,0
9607,509.0,9,1,30,0
16722,2831.0,6,1,43,0
16767,172.0,6,1,29,0
11497,784.0,8,1,34,0
16283,2801.0,4,2,38,0
12097,2077.0,8,1,34,0
18078,2362.0,5,1,27,0
29149,2096.0,1,1,35,1
7067,543.0,11,1,24,0
3949,755.0,13,1,39,0
15670,1239.0,6,1,49,0
15841,2477.0,6,1,43,0
693,1137.0,2,1,29,0
18757,1608.0,5,1,66,0
9354,71.0,9,1,37,0
3171,2012.0,5,8,52,0
8708,1058.0,10,1,43,0
4298,392.5,10,2,47,0
13497,2469.0,7,1,30,0
356,3197.5,2,2,38,0
9433,381.333333333,4,3,35,0
