Id,Sex,AvgRank,AvgTime,YearsSinceLast,YearsOfParticipation,LatestAge
160,1,1018.0,14634.0,1,1,45
161,1,2408.0,18895.0,1,1,35
162,0,576.0,13550.0,1,1,30
163,1,2047.14285714,17653.8571429,1,7,60
164,1,1188.0,15101.0,1,1,45
165,1,1744.33333333,16690.3333333,1,3,52
166,1,601.0,13617.0,1,1,50
167,0,2901.0,22166.0,1,1,35
168,0,1811.5,16868.0,1,2,40
169,0,422.0,13182.0,1,2,45
170,1,2571.5,21087.0,1,2,45
171,0,746.0,14013.0,1,1,25
172,1,809.0,14142.0,1,1,50
173,1,294.0,12611.0,1,1,30
174,0,2331.0,18524.0,1,1,35
175,0,2923.0,22504.0,1,1,25
176,1,304.0,12640.0,1,1,50
177,1,284.6,12677.6,1,5,30
178,1,30.5,10772.0,1,2,35
179,1,946.0,14419.0,1,1,35
180,0,3186.0,22965.5,1,4,42
181,1,736.0,13996.0,1,1,55
182,0,1065.0,14790.0,1,1,30
183,1,891.0,14323.0,1,1,45
184,1,2283.0,18317.0,1,1,35
185,0,2020.0,17402.0,1,1,35
186,0,2822.0,21276.0,1,1,35
187,0,1907.0,17095.0,1,1,50
188,1,1925.0,17140.0,1,1,35
189,1,1448.0,15897.0,1,1,45
190,1,582.0,13556.0,1,1,50
191,1,572.0,13547.0,1,1,40
192,0,1555.0,16117.0,1,1,35
193,1,466.0,13504.0,1,2,40
194,1,1221.0,10222.0,1,2,50
195,1,2486.0,19293.0,1,4,60
196,1,1487.33333333,16096.6666667,1,3,40
197,1,2513.0,19320.0,1,1,45
198,1,1759.66666667,12584.6666667,1,3,50
199,1,1624.0,16314.0,1,1,35
200,0,2795.0,21015.0,1,1,45
201,0,2471.0,11468.0,1,2,50
202,1,337.0,13007.0,1,2,42
203,0,773.0,14063.0,1,1,35
204,0,1063.0,14785.0,1,1,30
205,1,1304.0,15498.6666667,1,3,35
206,1,464.0,13227.0,1,1,40
207,1,2567.0,19542.0,1,1,35
208,0,285.0,12582.0,1,1,30
209,1,514.0,13368.0,1,1,45
210,1,632.0,13692.0,1,1,30
211,1,2737.0,20580.0,1,1,65
212,1,39.5,10913.5,1,2,45
213,0,2756.0,20744.0,1,1,35
214,0,1284.2,15657.2,1,5,60
215,1,989.0,14538.0,1,1,45
216,1,353.0,12828.0,1,1,40
217,0,1499.0,16010.0,1,1,30
218,1,513.0,13366.0,1,1,40
219,1,1659.0,16425.0,1,1,25
220,1,1831.0,16884.0,1,1,25
221,0,2894.0,25017.0,1,2,60
222,0,101.0,11595.0,1,1,40
223,0,624.0,13668.0,1,1,30
224,1,120.0,11759.0,1,1,30
225,1,881.0,14309.0,1,1,30
226,1,405.5,13122.5,1,2,45
227,0,2087.0,17587.0,1,1,50
228,1,1118.0,14912.0,1,1,40
229,0,1519.0,16049.0,1,1,35
230,1,1540.0,16097.0,1,1,30
231,1,29.0,10788.0,1,1,45
232,1,1361.0,15606.0,1,1,30
233,1,52.0,11032.0,1,1,40
234,1,424.0,13459.5,1,2,35
235,1,1946.0,17212.0,1,1,20
236,0,2464.0,19105.0,1,1,50
237,1,788.0,14091.0,1,1,45
238,1,1891.0,17047.0,1,1,35
239,1,530.0,13432.0,1,1,30
240,0,479.5,9566.5,1,2,20
241,0,971.0,14492.0,1,1,45
242,0,145.0,11907.0,1,1,30
243,0,2441.0,19028.0,1,1,30
244,0,1034.0,14686.0,1,1,40
245,1,1537.0,16092.0,1,1,35
246,1,822.0,14167.0,1,1,35
247,0,2753.0,20711.0,1,1,50
248,1,81.6,11154.2,1,5,40
249,1,318.0,12671.0,1,1,35
250,0,2818.0,21234.0,1,1,40
251,0,1730.0,16624.0,1,1,45
252,0,1792.33333333,16455.6666667,1,6,47
253,0,811.0,14258.5,1,2,40
254,1,2101.0,17655.0,1,1,25
255,0,3040.0,25788.0,1,1,40
256,0,2117.0,17726.0,1,1,30
257,1,81.0,11374.0,1,1,35
258,0,2245.0,18161.0,1,1,45
259,1,2400.0,18876.0,1,1,30
260,1,769.0,14056.0,1,1,35
261,1,196.0,12199.0,1,1,45
262,0,1851.0,16955.0,1,1,35
263,1,2071.0,17540.0,1,1,35
264,1,1287.5,15515.5,1,2,45
265,0,1291.0,15406.0,1,1,40
266,0,2036.0,17470.0,1,1,45
